audio_classification_mem.committed_Committed_AS,audio_classification_system.active_processes_active,audio_classification_system.cpu_user,audio_classification_system.file_nr_used_used,audio_classification_system.processes_running,audio_classification_system.ram_buffers,audio_classification_system.ram_cached,audio_classification_system.ram_free,audio_classification_system.ram_used,Target
24649.85,1492.0,3.104027,12854.0,1.0,88.44141,2434.863,751.1641,3516.629,4
24651.15,1493.0,2.184874,12822.0,2.0,88.44141,2434.875,752.5234,3515.258,4
24903.54,1493.0,2.268908,12822.0,2.0,88.44922,2434.875,752.9062,3514.867,4
24648.11,1492.0,2.267003,12822.0,1.0,88.44922,2434.875,752.1406,3515.633,4
24644.86,1492.0,2.011735,12822.0,1.0,88.44922,2434.875,756.8828,3510.891,4
24644.79,1492.0,2.951096,12822.0,2.0,88.44922,2434.875,757.0508,3510.723,4
24644.82,1494.0,2.35492,12790.0,2.0,88.44922,2434.875,759.2383,3508.535,4
24900.25,1493.0,3.027754,12790.0,2.0,88.44922,2434.875,761.8555,3505.918,4
24646.53,1494.0,2.864364,12822.0,2.0,88.45703,2434.879,761.5195,3506.242,4
24644.82,1493.0,1.92953,12854.0,2.0,88.45703,2434.879,758.4414,3509.32,4
24644.82,1493.0,2.016807,12886.0,1.0,88.45703,2434.883,762.0625,3505.695,4
24644.82,1493.0,2.439024,12886.0,2.0,88.45703,2434.883,760.9219,3506.836,4
24646.55,1494.0,2.099076,12854.0,2.0,88.45703,2434.883,760.7969,3506.961,4
24646.68,1494.0,2.255639,12854.0,3.0,88.46484,2434.883,761.0859,3506.664,4
24644.83,1493.0,2.013423,12854.0,1.0,88.46484,2434.883,761.082,3506.668,4
24644.83,1493.0,3.027754,12822.0,3.0,88.46484,2434.883,763.7656,3503.984,4
24644.83,1493.0,2.600671,12790.0,1.0,88.48438,2434.891,762.6562,3505.066,4
24646.68,1494.0,2.941176,12790.0,3.0,88.48438,2434.891,762.0703,3505.652,4
24675.38,1493.0,2.525253,12822.0,3.0,88.48438,2434.891,762.4648,3505.258,4
24645.9,1493.0,2.181208,12822.0,2.0,88.48438,2434.891,762.6211,3505.102,4
24645.9,1493.0,1.932773,12790.0,2.0,88.48438,2434.891,762.918,3504.805,4
24645.91,1493.0,2.013423,12758.0,2.0,88.48438,2434.891,762.5938,3505.129,4
24844.94,1493.0,2.013423,12758.0,2.0,88.49219,2434.891,763.875,3503.84,4
24647.62,1494.0,1.932773,12790.0,3.0,88.49219,2434.891,763.5586,3504.156,4
24647.8,1494.0,2.268908,12822.0,2.0,88.49219,2434.891,760.3945,3507.32,4
24645.97,1493.0,2.780118,12822.0,1.0,88.49219,2434.891,762.8828,3504.832,4
24645.97,1493.0,2.521008,12822.0,1.0,88.49219,2434.891,762.9258,3504.789,4
24645.91,1493.0,3.195963,12822.0,1.0,88.5,2434.891,760.4922,3507.215,4
24901.82,1494.0,2.529511,12822.0,2.0,88.5,2434.891,763.0625,3504.645,4
24648.11,1494.0,2.177554,12822.0,2.0,88.5,2434.906,762.207,3505.484,4
24646.46,1493.0,2.186712,12822.0,2.0,88.5,2434.906,760.707,3506.984,4
24646.46,1493.0,2.183039,12822.0,1.0,88.5,2434.906,761.5117,3506.18,4
24646.46,1493.0,2.013423,12822.0,2.0,88.51562,2434.91,758.168,3509.504,4
24648.2,1494.0,1.92953,12822.0,2.0,88.51562,2434.91,759.625,3508.047,4
24648.31,1494.0,2.097315,12822.0,2.0,88.51562,2434.91,758.3086,3509.363,4
24646.47,1494.0,2.857143,12854.0,3.0,88.51562,2434.91,757.2617,3510.41,4
24646.48,1493.0,2.616034,12854.0,1.0,88.51562,2434.91,758.6406,3509.031,4
24646.48,1493.0,2.443134,12854.0,1.0,88.52344,2434.91,760.5117,3507.152,4
24646.41,1493.0,2.770781,12822.0,1.0,88.52344,2434.91,758.3477,3509.316,4
24658.74,1497.0,2.10084,12854.0,4.0,88.53125,2434.914,758.2227,3509.43,4
24912.94,1499.0,2.268908,12854.0,3.0,88.54688,2434.914,754.2891,3513.348,4
24646.44,1493.0,2.430847,12822.0,1.0,88.54688,2434.898,765.5039,3502.148,4
24646.44,1493.0,2.015113,12822.0,1.0,88.54688,2434.898,765.9336,3501.719,4
24646.44,1493.0,1.932773,12790.0,1.0,88.55469,2434.898,766.9141,3500.73,4
24681.0,1493.0,2.10084,12790.0,2.0,88.55469,2434.898,764.1641,3503.48,4
24648.17,1494.0,3.027754,12790.0,3.0,88.55469,2434.898,761.418,3506.227,4
24646.38,1493.0,2.693603,12822.0,2.0,88.55469,2434.898,759.8867,3507.758,4
24646.49,1494.0,5.986509,12790.0,2.0,88.69531,2434.934,755.7617,3511.707,4
24646.54,1494.0,4.40678,12758.0,3.0,88.70312,2434.934,753.457,3514.004,4
24646.36,1494.0,2.447257,12790.0,1.0,88.70312,2434.934,751.3867,3516.074,4
24901.8,1495.0,2.278481,12822.0,3.0,88.71875,2434.934,748.8281,3518.617,4
24648.09,1495.0,2.971138,12822.0,2.0,88.71875,2434.934,754.0938,3513.352,4
24646.38,1494.0,2.869198,12854.0,1.0,88.71875,2434.934,752.4023,3515.043,4
24646.46,1495.0,3.535354,12854.0,1.0,88.77344,2434.992,756.7734,3510.559,4
24646.46,1495.0,2.099076,12854.0,1.0,88.77344,2434.992,755.7344,3511.598,4
24872.52,1497.0,3.719358,12822.0,3.0,88.77734,2435.012,758.9062,3508.402,4
24900.33,1496.0,4.90279,12822.0,2.0,88.77734,2435.027,761.5625,3505.73,4
24646.94,1495.0,4.572396,12790.0,3.0,88.77734,2435.027,761.0938,3506.199,4
24646.94,1495.0,2.938707,12790.0,1.0,88.78516,2435.027,755.2773,3512.008,4
24646.82,1495.0,2.434929,12822.0,1.0,88.78516,2435.027,753.4727,3513.812,4
24897.51,1495.0,2.10084,12822.0,2.0,88.79297,2435.027,754.7812,3512.496,4
24648.68,1496.0,2.265101,12854.0,3.0,88.79297,2435.027,754.2852,3512.992,4
24648.81,1496.0,2.099076,12822.0,2.0,88.79297,2435.027,753.2422,3514.035,4
24647.04,1495.0,2.17938,12822.0,1.0,88.79297,2435.039,758.0859,3509.18,4
24647.04,1495.0,2.099076,12822.0,1.0,88.79297,2435.039,755.9492,3511.316,4
24647.04,1495.0,2.857143,12822.0,1.0,88.80078,2435.039,754.4062,3512.852,4
24648.77,1496.0,2.695872,12822.0,2.0,88.80078,2435.039,761.9297,3505.328,4
24648.9,1496.0,2.693603,12822.0,2.0,88.80078,2435.039,761.4648,3505.793,4
24647.05,1494.0,2.693603,12854.0,1.0,88.80078,2435.043,759.1797,3508.074,4
24646.92,1494.0,2.523129,12854.0,1.0,88.80078,2435.043,760.5508,3506.703,4
24646.93,1494.0,2.015113,12822.0,1.0,88.80078,2435.043,761.2773,3505.977,4
24648.78,1494.0,2.347024,12854.0,2.0,88.80859,2435.043,763.0625,3504.184,4
24872.33,1493.0,2.181208,12854.0,2.0,88.80859,2435.043,761.3203,3505.926,4
24646.94,1493.0,2.10084,12822.0,1.0,88.80859,2435.043,759.9375,3507.309,4
24646.94,1493.0,2.17938,12822.0,1.0,88.81641,2435.043,759.8516,3507.387,4
24646.95,1493.0,2.609428,12822.0,1.0,88.81641,2435.043,760.543,3506.695,4
24676.41,1493.0,2.512563,12854.0,1.0,88.81641,2435.043,760.9141,3506.324,4
24904.25,1496.0,2.782462,12822.0,3.0,88.81641,2435.043,764.2812,3502.957,4
24648.59,1494.0,3.017603,12758.0,2.0,88.82422,2435.043,764.7852,3502.445,4
24646.89,1493.0,1.93115,12790.0,1.0,88.82422,2435.043,761.3242,3505.906,4
24646.82,1493.0,2.261307,12758.0,1.0,88.83984,2435.043,759.4844,3507.73,4
24646.85,1493.0,1.93115,12758.0,1.0,88.83984,2435.043,756.8906,3510.324,4
24648.57,1494.0,2.267003,12790.0,2.0,88.83984,2435.043,759.168,3508.047,4
24676.31,1494.0,2.015113,12790.0,5.0,88.83984,2435.043,758.6367,3508.578,4
24646.85,1493.0,2.102607,12758.0,1.0,88.83984,2435.043,758.5898,3508.625,4
24646.85,1493.0,2.523129,12758.0,1.0,88.83984,2435.043,763.0078,3504.207,4
24646.85,1493.0,2.695872,12758.0,1.0,88.84766,2435.043,764.6172,3502.59,4
24648.84,1494.0,2.436975,12790.0,2.0,88.84766,2435.043,763.1016,3504.105,4
24902.29,1494.0,2.691337,12790.0,2.0,88.84766,2435.043,760.2891,3506.918,4
24646.86,1493.0,2.175732,12726.0,1.0,88.84766,2435.043,759.3398,3507.867,4
24646.93,1493.0,2.10084,12758.0,1.0,88.84766,2435.043,760.5078,3506.699,4
24646.86,1493.0,2.183039,12758.0,1.0,88.85547,2435.043,760.5938,3506.605,4
24648.6,1494.0,1.760268,12758.0,2.0,88.85547,2435.043,759.4961,3507.703,4
24648.59,1494.0,2.270816,12758.0,2.0,88.87109,2435.043,759.8125,3507.371,4
24648.85,1494.0,2.184874,12758.0,2.0,88.87109,2435.043,760.8438,3506.34,4
24646.89,1493.0,2.607233,12790.0,2.0,88.87109,2435.043,760.6523,3506.531,4
24646.89,1493.0,2.691337,12790.0,1.0,88.87109,2435.043,760.9336,3506.25,4
24646.89,1493.0,2.605042,12822.0,2.0,88.87109,2435.047,760.2812,3506.898,4
24648.74,1494.0,2.693603,12822.0,2.0,88.87891,2435.047,754.1328,3513.039,4
