face_landmarking_mem.committed_Committed_AS,face_landmarking_system.active_processes_active,face_landmarking_system.cpu_user,face_landmarking_system.file_nr_used_used,face_landmarking_system.processes_running,face_landmarking_system.ram_buffers,face_landmarking_system.ram_cached,face_landmarking_system.ram_free,face_landmarking_system.ram_used,Target
10393.66,1014.0,7.466443,9430,4,79.67969,2777.812,1741.629,2191.965,8
10391.809,1013.0,8.816121,9430,2,79.6875,2777.812,1743.992,2189.602,8
10393.535,1014.0,9.006734,9430,4,79.6875,2777.812,1744.43,2189.156,8
10391.695,1013.0,9.243697,9430,4,79.6875,2777.812,1747.586,2186.0,8
10644.559,1014.0,9.014322,9430,4,79.6875,2777.812,1747.691,2185.895,8
10391.711,1013.0,8.915055,9430,3,79.6875,2777.812,1749.242,2184.344,8
10391.711,1013.0,9.07563,9462,3,79.6875,2777.812,1745.336,2188.25,8
10391.715,1013.0,8.361486,9462,2,79.69531,2777.812,1744.379,2189.207,8
10391.715,1013.0,8.35443,9462,4,79.69531,2777.812,1749.34,2184.238,8
10391.715,1013.0,8.648195,9462,4,79.71094,2777.812,1748.07,2185.508,8
10391.715,1013.0,8.961473999999999,9462,4,79.71094,2777.812,1745.117,2188.445,8
10391.715,1014.0,8.396306,9462,6,79.71094,2777.812,1744.246,2189.316,8
10391.715,1013.0,9.014322,9462,2,79.71094,2777.812,1744.047,2189.516,8
10397.645,1015.0,8.761584,9494,3,79.71094,2777.812,1746.254,2187.309,8
10395.672,1014.0,9.274874,9526,3,79.71875,2777.812,1749.234,2184.328,8
10648.516,1014.0,8.930076,9526,4,79.71875,2777.812,1748.027,2185.527,8
10395.684,1014.0,8.677338,9526,4,79.71875,2777.812,1746.621,2186.934,8
10393.406,1014.0,8.838384,9526,6,79.71875,2777.812,1745.672,2187.883,8
10391.684,1013.0,4.541632,9462,3,79.71875,2777.812,1745.734,2187.82,8
10391.711,1013.0,8.164983,9462,3,79.72656,2777.812,1747.867,2185.688,8
10391.711,1013.0,8.907563,9430,2,79.72656,2777.812,1745.984,2187.562,8
10391.711,1013.0,8.724832,9398,3,79.72656,2777.812,1744.668,2188.879,8
10391.773,1013.0,5.704698,9430,3,79.72656,2777.812,1744.719,2188.828,8
10391.773,1013.0,4.289319,9430,3,79.73438,2777.812,1744.664,2188.883,8
10391.711,1013.0,7.460184,9430,2,79.73438,2777.816,1744.852,2188.688,8
10391.738,1013.0,9.647651,9430,2,79.73438,2777.816,1744.066,2189.469,8
10392.863,1014.0,8.862876,9462,4,79.73438,2777.816,1744.934,2188.602,8
10391.738,1013.0,9.228188,9430,2,79.73438,2777.816,1743.809,2189.727,8
10393.461,1014.0,8.305369,9430,4,79.74219,2777.816,1746.625,2186.91,8
10391.738,1013.0,8.38223,9430,3,79.74219,2777.816,1746.129,2187.398,8
10393.461,1014.0,8.158116,9462,4,79.74219,2777.82,1742.266,2191.262,8
10391.742,1013.0,8.746846,9462,4,79.74219,2777.82,1742.266,2191.258,8
10391.742,1013.0,8.739495999999999,9430,5,79.74219,2777.82,1746.848,2186.676,8
10392.609,1015.0,8.256108,9430,3,79.75,2777.82,1747.168,2186.355,8
10391.801,1013.0,8.35443,9430,2,79.75,2777.82,1747.906,2185.609,8
10391.742,1013.0,8.487395,9430,3,79.75,2777.82,1747.625,2185.891,8
10391.75,1013.0,9.579832,9430,3,79.75,2777.82,1749.469,2184.047,8
