gesture_recognition_mem.committed_Committed_AS,gesture_recognition_system.active_processes_active,gesture_recognition_system.cpu_user,gesture_recognition_system.file_nr_used_used,gesture_recognition_system.processes_running,gesture_recognition_system.ram_buffers,gesture_recognition_system.ram_cached,gesture_recognition_system.ram_free,gesture_recognition_system.ram_used,Target
26582.72,1593,18.18182,14784,6,29.45312,1767.266,374.2344,4620.141,5
26581.0,1592,9.47192,14784,5,29.45312,1767.27,388.7109,4605.66,5
26581.03,1592,9.41968,14816,4,29.45312,1767.27,379.2227,4615.148,5
26790.29,1592,15.643398,14848,5,29.46094,1767.281,345.7656,4648.586,5
26581.13,1592,18.72376,14848,7,29.46094,1767.289,353.043,4641.301,5
26581.14,1592,10.79258,14816,3,29.46094,1767.293,356.1406,4638.199,5
26582.84,1593,10.301508,14816,3,29.46094,1767.301,381.6445,4612.688,5
26581.14,1592,9.298394,14816,5,29.46094,1767.301,381.2305,4613.102,5
26581.24,1592,9.459459,14816,3,29.46875,1767.305,376.5039,4617.816,5
26574.18,1594,12.553011,14784,5,29.46875,1767.305,367.668,4626.652,5
26577.11,1593,11.620017,14816,6,29.46875,1767.305,385.8477,4608.473,5
26577.11,1593,12.105712,14784,5,29.48828,1768.715,384.0234,4608.867,5
26576.91,1593,11.629881,14784,4,29.48828,1768.715,382.5234,4610.367,5
26576.91,1593,12.372014,14752,4,29.5,1768.773,389.8125,4603.008,5
26572.78,1592,10.468085,14752,5,29.5,1768.793,414.0234,4578.777,5
26575.2,1592,11.819728,14752,4,29.5,1768.918,388.3672,4604.309,5
26575.23,1592,12.404418,14720,5,29.50781,1768.922,393.1445,4599.52,5
26575.25,1592,18.05792,14720,4,29.51562,1768.934,398.6641,4593.98,5
26575.26,1592,14.030612,14720,4,29.51562,1768.941,396.8164,4595.82,5
26573.77,1592,14.006791,14720,4,29.52344,1768.938,406.8867,4585.746,5
26573.84,1592,13.884157,14752,3,29.53125,1768.965,407.4023,4585.195,5
26574.4,1593,19.57265,14784,5,29.53125,1769.223,346.1172,4646.223,5
26575.16,1592,14.418999,14752,5,29.53125,1769.223,383.9648,4608.375,5
26574.82,1592,14.322034,14752,4,29.53906,1769.266,377.6875,4614.602,5
26585.58,1592,12.774958,14784,4,29.53906,1769.266,387.2734,4605.016,5
26587.08,1592,28.0271,14784,9,29.53906,1769.5,332.8906,4659.164,5
26587.08,1592,13.708999,14816,4,29.53906,1769.277,344.7617,4647.516,5
26587.08,1592,10.26936,14848,4,29.53906,1769.277,362.9688,4629.309,5
26577.29,1592,8.61204,14848,4,29.54688,1769.27,372.3203,4619.957,5
26577.29,1592,9.731544,14848,4,29.54688,1769.277,380.3984,4611.871,5
26706.45,1594,9.037657,14848,4,29.54688,1769.277,379.0742,4613.195,5
26577.29,1592,9.159664,14848,5,29.54688,1769.281,382.043,4610.223,5
26576.16,1593,9.343434,14848,4,29.54688,1769.285,385.9609,4606.301,5
26578.61,1595,9.519798,14880,5,29.54688,1769.305,390.9844,4601.258,5
26578.61,1593,9.41968,14912,4,29.5625,1769.305,392.1367,4600.09,5
26572.56,1593,8.96027,14880,3,29.5625,1769.309,393.4688,4598.754,5
26566.52,1591,8.706678,14816,4,29.5625,1769.305,406.9453,4585.281,5
26569.53,1591,9.535865,14816,4,29.5625,1769.336,405.7305,4586.465,5
26573.7,1592,12.193057,14816,3,29.5625,1769.336,383.3359,4608.859,5
26574.87,1592,12.0954,14816,16,29.84766,1769.406,402.793,4589.047,5
26582.5,1592,11.614005,14816,5,29.84766,1769.406,393.207,4598.633,5
26582.59,1592,14.444444,14816,4,29.84766,1769.406,348.8047,4643.035,5
26582.62,1592,20.70145,14848,4,29.86719,1766.434,434.4727,4560.32,5
26582.65,1592,15.221088,14880,5,29.89844,1766.508,398.9258,4595.762,5
26584.07,1593,9.661017,14880,4,29.91406,1766.602,411.8594,4582.719,5
26584.03,1595,11.580727,14880,9,29.91406,1766.617,406.7539,4587.809,5
26586.28,1594,21.92833,14784,4,29.92188,1766.629,389.5352,4605.008,5
26585.26,1593,23.89456,14816,5,29.92188,1766.637,380.3398,4614.195,5
26585.26,1593,13.247863,14816,5,29.92188,1766.641,392.1133,4602.418,5
26587.23,1594,9.898477,14848,4,29.92188,1766.645,401.8789,4592.648,5
26585.27,1593,9.612142,14784,4,29.92188,1766.645,398.0547,4596.473,5
26585.27,1593,10.450297,14784,3,29.92969,1766.645,378.0547,4616.465,5
26564.99,1593,9.712838,14720,4,29.92969,1766.645,406.4727,4588.047,5
26565.63,1593,15.502555,14720,17,29.92969,1766.816,374.2852,4620.062,5
26566.4,1593,14.745763,14752,18,29.92969,1766.945,425.5156,4568.703,5
26581.11,1594,18.58108,14784,9,29.92969,1766.945,478.2734,4515.945,5
26579.61,1593,21.86441,14784,9,29.9375,1767.074,462.7422,4531.34,5
27305.23,1594,14.225233,14784,6,29.9375,1767.074,476.082,4518.0,5
26612.56,1593,16.9348,14816,7,29.9375,1767.086,450.957,4543.113,5
26584.75,1593,20.98139,14816,6,29.9375,1775.703,442.1094,4543.344,5
26574.96,1593,11.759729,14784,5,29.9375,1775.707,463.0352,4522.414,5
26586.73,1594,9.014322,14784,6,30.09375,1775.758,469.0117,4516.23,5
26584.7,1593,9.957806,14784,5,30.09375,1775.758,458.6055,4526.637,5
26591.75,1593,11.91885,14816,4,30.09375,1775.762,460.5391,4524.699,5
26582.84,1593,12.605753,14816,6,30.09375,1775.762,457.3516,4527.887,5
26576.75,1593,12.521295,14752,4,30.09375,1775.762,460.3164,4524.922,5
26586.28,1593,12.20339,14784,3,30.09375,1775.832,448.4922,4536.676,5
26587.27,1594,11.749789,14816,16,30.10156,1775.832,445.7383,4539.422,5
26586.39,1593,14.627887,14816,24,30.10938,1775.914,444.1484,4540.922,5
26590.86,1594,13.106383,14816,5,30.10938,1775.918,446.8047,4538.262,5
26598.0,1594,18.60068,14784,6,30.10938,1775.93,434.9258,4550.129,5
26599.6,1593,21.88034,14784,6,30.12109,1775.941,404.7188,4580.312,5
26602.77,1593,28.46154,14752,12,30.12109,1775.949,390.9258,4594.098,5
26604.1,1594,38.85077,14752,8,30.13281,1780.184,356.6875,4624.09,5
26602.96,1592,14.505119,14752,5,30.13281,1780.469,381.6094,4598.883,5
26610.81,1595,12.574342,14784,5,30.14062,1780.457,375.5977,4604.898,5
