hand_landmarking_mem.committed_Committed_AS,hand_landmarking_system.active_processes_active,hand_landmarking_system.cpu_user,hand_landmarking_system.file_nr_used_used,hand_landmarking_system.processes_running,hand_landmarking_system.ram_buffers,hand_landmarking_system.ram_cached,hand_landmarking_system.ram_free,hand_landmarking_system.ram_used,Target
30614.42,1646,7.666386,15189,7,61.78125,1948.613,225.8945,4552.824,3
30614.26,1645,8.614865,15189,4,61.78125,1948.613,227.8789,4555.258,3
30612.42,1646,7.588533,15221,4,61.78125,1948.613,225.4414,4557.824,3
30612.43,1645,7.834878,15221,3,61.78906,1948.613,222.875,4557.824,3
30866.09,1645,7.438715,15221,4,61.78906,1948.617,222.875,4563.23,3
30612.45,1646,7.504215999999999,15189,5,61.78906,1948.617,217.4609,4564.211,3
30866.22,1645,8.768971,15221,4,61.78906,1948.617,216.4766,4565.84,3
30612.57,1646,7.472712,15221,5,61.78906,1948.621,214.8477,4566.152,3
30612.64,1645,8.00337,15253,10,61.80469,1948.664,214.5352,4561.98,3
30617.74,1645,7.569386,15189,4,61.82031,1948.613,218.7031,4563.078,3
30615.76,1646,7.491582,15157,11,61.82031,1948.621,217.5469,4551.148,3
30612.7,1645,7.757167,15125,4,61.82031,1948.625,229.5117,4557.293,3
30612.64,1645,8.060453,15125,3,61.82031,1948.625,223.3594,4557.645,3
30612.66,1645,8.655462,15125,4,61.82031,1948.625,223.0039,4551.215,3
30614.39,1645,7.885906,15125,4,61.82812,1948.625,229.4336,4545.793,3
30612.67,1646,7.925801,15125,6,61.82812,1948.625,234.8555,4546.496,3
30612.67,1645,8.074012,15157,4,61.82812,1948.625,234.1445,4555.062,3
30614.7,1645,7.563025,15157,4,61.82812,1948.629,225.5781,4557.289,3
30612.73,1646,7.983193,15157,5,61.84375,1948.629,223.3516,4561.75,3
30614.71,1645,7.97649,15157,4,61.84375,1948.641,218.8867,4562.965,3
30612.74,1646,7.491582,15157,5,61.84375,1948.645,217.6562,4555.168,3
30612.74,1645,7.724601,15125,3,61.84375,1948.648,225.4414,4548.871,3
30614.59,1645,7.504215999999999,15125,4,61.84375,1948.648,231.7344,4539.652,3
30612.79,1647,7.166948,15125,5,61.85938,1948.648,240.9492,4541.129,3
30614.51,1646,7.317073,15125,3,61.85938,1948.648,239.4727,4538.906,3
30612.81,1647,7.095159,15157,6,61.85938,1948.648,241.6797,4538.977,3
30716.9,1646,8.535565,15157,3,61.85938,1948.652,241.6094,4535.379,3
30612.61,1653,7.588533,15125,4,61.85938,1948.652,245.207,4537.605,3
30608.94,1647,7.912458,15125,5,61.86719,1948.652,242.9766,4543.254,3
30862.58,1646,7.666386,15125,3,61.86719,1948.652,237.3281,4541.672,3
30608.94,1647,7.744108,15093,5,61.86719,1948.777,238.9023,4543.598,3
30608.94,1646,7.750631999999999,15093,3,61.86719,1948.789,236.9766,4529.695,3
30610.87,1646,7.497894,15093,3,61.86719,1948.789,250.7539,4527.414,3
30608.96,1647,7.737595,15125,4,61.875,1948.793,253.0234,4535.109,3
30608.98,1646,7.776839,15125,3,61.875,1948.793,245.3281,4535.426,3
30608.98,1646,8.016878,15125,3,61.875,1948.793,245.0,4539.125,3
30608.98,1646,7.659933,15189,3,61.875,1948.777,241.3008,4538.391,3
30610.83,1646,8.080808,15189,3,61.875,1948.777,242.0352,4547.547,3
30608.98,1647,7.323232,15189,4,61.88281,1948.781,232.8945,4540.551,3
30608.98,1645,8.585859,15125,3,61.88281,1948.781,239.8906,4540.367,3
30613.88,1645,7.245156,15125,6,61.88281,1948.781,240.0625,4540.762,3
30608.98,1645,7.905803,15157,4,61.88281,1948.781,239.668,4528.504,3
30610.65,1644,7.634228,15157,3,61.88281,1948.785,251.9258,4533.723,3
30608.88,1645,8.235294,15157,4,61.89062,1948.785,246.707,4529.98,3
30608.94,1644,18.99582,15189,4,61.89062,1948.785,250.4453,4526.754,3
30610.65,1645,7.65349,15189,4,61.89062,1948.785,253.6641,4537.602,3
30608.95,1646,7.815126,15189,4,61.89062,1948.789,242.8164,4534.504,3
30610.67,1645,8.494533,15221,3,61.92188,1948.758,245.9141,4542.797,3
30608.95,1646,7.413648,15221,4,61.92188,1948.789,237.6172,4543.34,3
30608.95,1645,7.892527,15221,3,61.92188,1948.793,237.0742,4541.398,3
30608.93,1645,7.401177,15221,3,61.92188,1948.805,238.9844,4541.426,3
30607.08,1646,7.757167,15125,4,61.94531,1948.98,238.9531,4530.75,3
30607.09,1645,7.323232,15125,3,61.94531,1948.984,249.6172,4529.148,3
30611.32,1638,7.563025,15125,3,61.94531,1948.969,251.0195,4527.473,3
30611.32,1639,11.759729,15125,3,61.94531,1948.969,252.6914,4527.578,3
30613.05,1638,7.782427,15125,3,61.94531,1948.969,252.6016,4544.801,3
30607.19,1639,7.815126,15125,4,61.95703,1949.652,235.3789,4532.391,3
