idle1_rpi_mem.committed_Committed_AS,idle1_rpi_system.active_processes_active,idle1_rpi_system.cpu_user,idle1_rpi_system.file_nr_used_used,idle1_rpi_system.processes_running,idle1_rpi_system.ram_buffers,idle1_rpi_system.ram_cached,idle1_rpi_system.ram_free,idle1_rpi_system.ram_used,Target
3328.043,416,1.0025063,4256,2,12.445312,214.8008,184.8984,494.9844,5
3328.043,416,1.754386,4256,2,12.445312,214.8008,184.8984,494.9844,5
3328.043,416,1.2531328,4256,2,12.445312,214.8008,184.8984,494.9844,5
3328.043,416,2.506266,4256,2,12.445312,214.8008,184.8984,494.9844,5
3328.043,416,0.5,4256,3,12.445312,214.8008,189.2539,490.6289,5
3328.043,416,1.0050251,4256,2,12.445312,214.8008,189.0352,490.8477,5
3328.043,416,3.258145,4256,2,12.460938,214.7852,188.7891,491.0938,5
3328.043,416,1.0025063,4256,2,12.460938,214.8008,188.7891,491.0781,5
3328.043,416,1.763224,4256,2,12.460938,214.8008,188.7891,491.0781,5
3328.043,416,1.5075377,4256,2,12.460938,214.8008,188.7891,491.0781,5
3328.043,416,1.5037594,4256,2,12.460938,214.8008,188.7891,491.0781,5
3328.043,416,1.25,4256,2,12.460938,214.8008,188.7891,491.0781,5
3328.043,416,1.2562814,4256,2,12.460938,214.8008,188.7891,491.0781,5
3328.043,416,1.5075377,4224,2,12.460938,214.8008,188.543,491.3242,5
3328.043,416,2.238806,4224,3,12.460938,214.8008,188.3086,491.5586,5
3328.043,416,1.5037594,4256,2,12.476562,214.8008,188.5547,491.2969,5
3328.043,416,1.745636,4256,2,12.476562,214.8008,188.5547,491.2969,5
3328.043,416,1.0025063,4256,2,12.476562,214.8008,188.5547,491.2969,5
3328.043,416,0.7518796999999999,4256,3,12.476562,214.8008,188.3086,491.543,5
3328.043,416,0.7518796999999999,4256,2,12.476562,214.8008,188.3086,491.543,5
3328.043,416,2.005013,4256,2,12.476562,214.8008,188.3086,491.543,5
3328.043,416,1.0,4256,2,12.476562,214.8008,188.3086,491.543,5
3328.043,416,1.2531328,4256,2,12.476562,214.8008,188.3086,491.543,5
3328.043,416,1.25,4256,2,12.476562,214.8008,188.3086,491.543,5
3328.043,416,1.5,4256,2,12.476562,214.8008,188.3086,491.543,5
3328.043,416,2.244389,4256,4,12.476562,214.8008,188.0625,491.7891,5
3328.043,416,0.7556674999999999,4256,2,12.476562,214.8008,188.0625,491.7891,5
3328.043,416,1.5037594,4256,2,12.476562,214.8008,188.0625,491.7891,5
3328.043,416,1.0,4256,2,12.476562,214.8008,188.2578,491.5938,5
3328.043,416,1.754386,4256,2,12.476562,214.8008,188.3086,491.543,5
3328.043,416,2.255639,4256,2,12.476562,214.8008,188.0625,491.7891,5
3328.043,416,1.2531328,4256,2,12.476562,214.8008,188.0625,491.7891,5
3328.043,416,0.7481297,4256,3,12.476562,214.8008,188.0625,491.7891,5
3328.043,416,0.5,4256,2,12.476562,214.8008,187.8164,492.0352,5
3328.043,416,1.25,4256,2,12.476562,214.8008,187.8281,492.0234,5
3328.043,416,1.2594458,4256,3,12.476562,214.8008,187.8281,492.0234,5
3328.043,416,1.5,4256,2,12.492188,214.8008,187.0898,492.7461,5
3328.043,416,1.2531328,4256,2,12.492188,214.8008,187.0898,492.7461,5
3328.043,416,1.5037594,4256,2,12.492188,214.8008,187.0391,492.7969,5
3328.043,416,1.75,4256,3,12.492188,214.8008,187.3398,492.4961,5
3328.043,416,1.5037594,4256,2,12.492188,214.8008,187.5625,492.2734,5
3328.043,414,2.015113,4256,2,12.492188,214.8008,187.6133,492.2227,5
3328.043,414,1.5037594,4256,2,12.492188,214.8008,187.6133,492.2227,5
3328.043,414,1.25,4256,3,12.492188,214.8008,187.6133,492.2227,5
3328.043,414,1.511335,4256,2,12.492188,214.8008,187.6133,492.2227,5
3328.043,414,1.5,4256,2,12.492188,214.8008,187.6133,492.2227,5
3328.043,414,1.75,4256,3,12.492188,214.8008,187.8086,492.0273,5
3328.043,414,0.2512563,4256,2,12.5,214.793,187.8086,492.0273,5
3328.043,414,1.2468828,4256,2,12.5,214.8008,187.6133,492.2148,5
3328.043,414,1.5075377,4256,2,12.5,214.8008,187.8594,491.9688,5
3328.043,414,1.4962594,4256,2,12.5,214.8008,187.8594,491.9688,5
3328.043,415,1.0025063,4256,2,12.5,214.8008,187.6133,492.2148,5
3328.043,415,2.506266,4256,3,12.5,214.8008,187.3672,492.4609,5
3328.043,415,1.2531328,4256,2,12.5,214.8008,187.3672,492.4609,5
3328.043,415,1.0050251,4256,2,12.5,214.8008,187.3672,492.4609,5
3328.043,415,1.754386,4256,2,12.5,214.8008,187.1211,492.707,5
3328.043,415,1.25,4256,2,12.5,214.8008,186.875,492.9531,5
3328.043,415,2.244389,4256,2,12.5,214.8008,186.6289,493.1992,5
3328.043,415,1.5037594,4256,2,12.5,214.8008,186.8242,493.0039,5
3328.043,415,1.5037594,4256,2,12.5,214.8008,187.1211,492.707,5
3328.043,415,1.2562814,4256,2,12.5,214.8008,186.875,492.9531,5
3328.043,415,0.7481297,4256,3,12.5,214.8008,186.6289,493.1992,5
3328.043,415,1.2531328,4256,2,12.5,214.8008,186.3828,493.4453,5
3328.043,415,2.255639,4256,2,12.5,214.8008,186.6289,493.1992,5
