object_detection_mem.committed_Committed_AS,object_detection_system.active_processes_active,object_detection_system.cpu_user,object_detection_system.file_nr_used_used,object_detection_system.processes_running,object_detection_system.ram_buffers,object_detection_system.ram_cached,object_detection_system.ram_free,object_detection_system.ram_used,Target
24305.14,1717,6.9747900000000005,15212,1,44.86719,1985.047,444.9688,4316.215,0
24305.14,1719,6.992418,15180,1,44.99609,1986.719,446.6602,4312.723,0
24559.2,1721,7.97649,15212,5,44.99609,1986.719,449.4766,4309.906,0
24306.11,1719,7.97649,15212,2,44.99609,1986.719,451.625,4307.758,0
24312.88,1719,8.00337,15212,2,45.00391,1986.719,447.0,4312.375,0
24308.92,1718,8.417508,15212,2,45.00391,1986.719,447.8984,4311.477,0
24320.57,1718,8.340354,15212,1,45.00391,1986.719,420.8633,4338.512,0
24320.57,1718,7.041073,15244,1,45.00391,1986.719,420.793,4338.582,0
24319.23,1719,6.638655,15212,2,45.00391,1986.719,424.5859,4334.789,0
24317.39,1718,7.052897,15212,1,45.01172,1986.719,412.4922,4346.875,0
24309.32,1712,7.815126,15212,2,45.01172,1986.719,422.8672,4336.5,0
24309.65,1713,9.388097,15212,3,45.01953,1986.719,431.5352,4327.824,0
24322.93,1712,8.480269,15212,2,45.01953,1986.719,415.8008,4343.559,0
24329.7,1712,8.333333,15244,3,45.01953,1986.719,414.8945,4344.465,0
24329.7,1712,7.142857,15244,1,45.01953,1986.719,413.1641,4346.195,0
24329.7,1712,6.728343,15244,2,45.01953,1986.719,412.4492,4346.91,0
24347.32,1713,6.9747900000000005,15244,1,45.03516,1986.719,399.7109,4359.633,0
24349.45,1713,6.896552,15212,1,45.03516,1986.719,402.0195,4357.324,0
24354.13,1713,7.029289,15244,2,45.05078,1986.719,393.8281,4365.5,0
24364.27,1713,6.986532,15276,1,45.06641,1986.719,386.9609,4372.352,0
24360.12,1713,7.323232,15244,2,45.06641,1986.73,390.7109,4368.59,0
24363.4,1712,6.896552,15244,1,45.06641,1986.734,386.6094,4372.688,0
24363.4,1712,7.89916,15244,2,45.06641,1986.734,378.0586,4381.238,0
24358.13,1713,8.501684000000001,15244,5,45.06641,1986.734,384.3867,4374.91,0
24363.91,1712,8.710218,15244,2,45.07422,1986.734,373.5781,4385.711,0
24364.74,1713,8.754209,15212,4,45.07422,1986.746,375.7461,4383.531,0
24368.01,1713,8.333333,15244,2,45.07422,1986.746,375.1484,4384.129,0
24368.01,1713,8.816121,15276,2,45.07422,1986.746,370.6562,4388.621,0
24619.95,1713,8.578638,15276,3,45.07422,1986.746,375.2734,4384.004,0
24368.77,1714,8.431703,15244,2,45.07422,1986.746,371.8242,4387.453,0
24375.28,1714,8.466052,15244,2,45.08203,1986.746,371.5781,4387.691,0
24375.45,1714,8.662742,15244,2,45.08203,1986.746,358.2891,4400.98,0
24371.46,1713,8.144416,15276,2,45.08203,1986.746,356.9102,4402.359,0
24371.46,1713,8.571429,15276,2,45.08203,1986.746,348.7891,4410.48,0
24371.46,1713,8.060453,15276,3,45.08203,1986.75,349.1055,4410.16,0
24243.72,1706,8.249158,15244,2,45.08984,1986.816,354.5352,4404.656,0
24245.45,1707,8.487395,15212,3,45.11328,1986.816,355.2227,4403.945,0
24243.72,1706,9.060403,15212,2,45.11328,1986.816,357.9023,4401.266,0
24241.73,1706,8.333333,15212,2,45.11328,1986.824,348.0586,4411.102,0
24243.87,1706,8.670034,15244,2,45.17188,1987.59,351.1914,4407.145,0
24243.87,1706,9.555742,15244,2,45.17188,1987.59,348.2383,4410.098,0
24245.24,1709,8.593092,15212,3,45.17188,1987.59,350.1055,4408.23,0
24243.93,1706,8.087616,15212,2,45.17188,1987.594,350.5742,4407.758,0
24243.93,1706,7.058824,15212,1,45.17188,1987.594,352.6914,4405.641,0
24246.07,1706,7.041073,15212,1,45.17188,1987.594,349.2891,4409.043,0
24246.07,1706,6.945607,15212,1,45.17969,1987.594,347.9805,4410.344,0
24243.94,1706,6.402696,15180,1,45.17969,1987.594,352.4375,4405.887,0
24243.94,1706,8.403361,15180,2,45.17969,1987.594,351.7695,4406.555,0
24243.94,1706,8.24222,15244,2,45.17969,1987.594,349.5547,4408.77,0
24243.95,1706,8.487395,15244,2,45.19531,1987.594,347.1055,4411.203,0
24245.67,1707,7.750631999999999,15212,3,45.19531,1987.598,347.4922,4410.812,0
24244.01,1706,6.801008,15212,1,45.19531,1987.598,352.707,4405.598,0
24244.01,1706,6.644239,15212,1,45.19531,1987.598,354.2227,4404.082,0
24245.73,1707,6.576728,15180,2,45.19531,1987.598,355.7305,4402.574,0
