pose_landmarking_mem.committed_Committed_AS,pose_landmarking_system.active_processes_active,pose_landmarking_system.cpu_user,pose_landmarking_system.file_nr_used_used,pose_landmarking_system.processes_running,pose_landmarking_system.ram_buffers,pose_landmarking_system.ram_cached,pose_landmarking_system.ram_free,pose_landmarking_system.ram_used,Target
32076.48,1671,10.310142,15317,5,53.20703,1660.3906,202.3789,4875.117,6
31823.17,1670,10.606061,15285,4,53.20703,1660.3906,196.6523,4880.844,6
31823.18,1670,9.639564,15253,4,53.20703,1660.3906,195.9492,4881.547,6
31823.18,1670,10.504202,15285,5,53.20703,1660.3906,193.2617,4884.234,6
31823.19,1671,10.0,15253,4,53.21484,1660.3867,191.8086,4885.684,6
31824.91,1672,10.420168,15317,5,53.21484,1660.3945,188.8242,4888.66,6
31823.36,1671,10.084034,15285,4,53.22266,1660.3945,187.0273,4890.449,6
31823.36,1671,10.151007,15285,4,53.22266,1660.3945,191.2695,4886.207,6
31823.42,1671,10.15953,15317,4,53.22266,1660.3945,186.293,4891.184,6
31823.51,1671,10.336134,15317,4,53.22266,1660.3945,180.2266,4897.25,6
32073.47,1671,9.555742,15317,5,53.22266,1660.3945,180.6367,4896.84,6
31874.54,1671,10.067114,15317,6,53.23047,1660.3945,179.1602,4898.309,6
31823.57,1671,10.15953,15317,4,53.23047,1660.3945,179.6836,4897.785,6
31825.54,1672,9.891031,15317,5,53.23047,1660.3945,178.4648,4899.004,6
31823.58,1671,10.252101,15317,4,53.23047,1660.3945,172.0938,4905.375,6
31825.43,1672,9.823678,15349,6,53.23047,1660.3945,168.4297,4909.039,6
31823.55,1671,10.729254,15349,4,53.23828,1661.3594,171.668,4904.828,6
31823.49,1671,9.747899,15349,4,53.23828,1661.4336,169.8047,4906.617,6
31825.23,1672,10.486577,15349,6,53.23828,1661.4375,173.3008,4903.117,6
31823.52,1671,9.655751,15349,5,53.24609,1661.4375,172.7969,4903.613,6
32077.08,1672,10.176619,15349,10,53.24609,1661.4375,172.0469,4904.363,6
31823.77,1672,10.092515,15381,4,53.24609,1661.4375,170.3281,4906.082,6
31823.77,1672,10.0,15413,4,53.24609,1661.4375,172.4688,4903.941,6
31825.75,1673,10.22632,15413,5,53.24609,1661.4375,169.5898,4906.82,6
31823.76,1671,9.915966,15349,4,53.25391,1661.4375,173.0938,4903.309,6
